,implied_end_date=false,implied_end_date=true,implied_end_date=unknown
add_agent_schedule,0.005802068900490639,-0.005416846003901806,-0.00240184538711316
add_task_to_list,0.0031482286187565515,-0.0029153669834785507,-0.001417396882707098
check_calendar_availability,0.00029912502042918706,-2.4485663177461463e-05,-0.0013438020943216293
complete_execution,0.0026460895587441854,-0.002590042744085371,-0.0005225156431355503
create_custom_field,-0.0017203889620407296,0.0021037433832678627,-0.0016704053234248874
create_document,-0.004149427566473361,0.005125190427222055,-0.004273774852663665
create_document_page,-0.002035272215099543,0.0024281649340374654,-0.0016858352405064658
create_google_calendar_event,-0.015685129747070176,0.016413452564424256,-0.001980997867229892
create_list,-0.018944460451849634,0.019879173692794162,-0.0026562281083004806
create_subtask,-0.023412953869589602,0.024654076848766554,-0.003694253225595487
create_task,-0.034105308960606776,0.0360533305600287,-0.006052194433305219
delete_memory,0.0012823665425182882,-0.0012153870247666539,-0.0004438868496192416
edit_image,0.014201980303171314,-0.014281491649930936,-0.000983297553544237
find_similar_assets,0.0033801557537135674,-0.0033085606852776275,-0.0006674695690905601
find_stale_tasks,0.01548711827229947,-0.014804336638943875,-0.004756863203796454
follow_up_cursor_agent,0.0012882014700244474,-0.0012609160787214306,-0.0002543774141633873
generate_image,-0.0002559513526629853,-8.210088588556146e-05,0.0016432993235005154
generate_project_summary,-0.01644317966642626,0.01718328215041302,-0.0019645964066499475
generate_project_update,-0.005708555296777471,0.006428942890814375,-0.0029011994629527063
generate_stand_up,0.015191305318693706,-0.014767983255388079,-0.003486065533818894
get_cursor_agent,0.0012004786919235266,-0.0011750513565088093,-0.0002370550511822889
gmail_create_draft,0.004192143055243237,-0.0038379767731720983,-0.002098510030318338
gmail_fetch_drafts,0.0016713423737623162,-0.001483544508809534,-0.0010597679568815814
launch_cursor_agent,0.0016159431117510233,-0.0015817158257606905,-0.0003190956071448452
list_available_calendars,0.0011908229650753536,-0.0011656001475806384,-0.00023514836276073366
load_assets,0.007819644078363799,-0.005556547523645184,-0.01158756205866531
load_custom_fields,0.023610910155061705,-0.022704503152666065,-0.0066079105879586035
load_web_pages,0.010166742730201113,-0.009538698770988807,-0.003983764877968951
manage_personal_priorities,0.007209808010460146,-0.006802019876122085,-0.002645101968330658
move_task_to_list,-0.0037120545673947746,0.00414624854768411,-0.0017225543716544599
post_chat_message,0.012546844093600209,-0.010906646410092856,-0.00905891980625243
post_reply,-0.006938524461091345,0.005826779414900176,0.0059898471733585415
post_slack_message,0.00620585354009045,-0.005957157045442764,-0.0017868889645109931
post_task_comment,0.01416660503806329,-0.01287489009826332,-0.0075458279012102026
read_memory,-0.01071128470820107,0.01159566748325298,-0.003205981513329459
reflect,0.0017825654566522423,-0.0017448089432961721,-0.000351998039120002
rename_memory,0.0007036834202643878,-0.0006799643784473382,-0.00018116050940758142
retrieve_activity,0.018921509605461694,-0.017584227911611714,-0.008220701981825429
retrieve_chat_messages,0.003026957262006692,-0.0030180014616881658,-0.0003336071863884062
retrieve_personal_priorities,0.02327590950950824,-0.02281717080504565,-0.004432137606666734
retrieve_tasks_by_filters,0.0007887383804176341,0.0014927711606634204,-0.011000448017496172
search_clickup_help_center,0.006741642678208928,-0.0065800593587144246,-0.001421219312068926
search_clickup_support_resources,0.003929732932183509,-0.0037219428361916864,-0.001372404717357414
search_google_calendar,0.010205768500497073,-0.00949846572723321,-0.004367033001134037
search_public_web,0.00874805816673925,-0.008907535761252746,-7.656922352196894e-05
search_users_and_teams,0.010237942989434621,-0.00946928455694603,-0.004663916306452937
search_workspace,-0.01714511733933745,0.0187896116776037,-0.0062277345915585465
todo_write,0.011529806110784723,-0.008084698757271535,-0.017603799602455807
update_chat_message,-0.0027522046841775664,0.002893549172863286,-0.00041247358110321763
update_comment,-0.0015575205147057443,0.0017690464753651672,-0.0008632711089935464
update_document,-0.010426885926653426,0.010496743487646763,0.0006669451074937695
update_google_calendar_event,-0.004961770519376947,0.005295808137309419,-0.0011229406974296633
update_task,-0.014034303702103047,0.015263057344765893,-0.004535795150440819
view_tools_catalog,0.0030628715486145986,-0.0030757134531869622,-0.0002326812640445952
write_memory,-0.0035605287058180987,0.0042190960313694915,-0.002811488465113836
