,team_orientation=individual,team_orientation=larger_team,team_orientation=small_team,team_orientation=unknown
add_agent_schedule,-0.029722487096744694,0.02715071688036138,0.02042097095969051,-0.004431434065302617
add_task_to_list,0.0029852036888591738,-0.0031329724390564695,-0.0003980387530518925,-0.002432853999780403
check_calendar_availability,0.0008149290369894531,5.561036917908282e-05,-0.0004778631866926472,-0.0014129689531200717
complete_execution,-0.0004260140286909058,-0.0016272467290976787,0.0022983604080401092,-0.0009702271417650569
create_custom_field,0.0024376804631348037,-0.0033476982352703254,0.0006116066367168102,-0.0026684863527293356
create_document,0.004509956679966645,-0.007277801297198248,0.000649977831460599,-0.002058177280170168
create_document_page,0.005786700882581647,-0.008886043744304217,0.0003473513691447373,-0.0023577698698733895
create_google_calendar_event,0.006095463391100312,-0.003344841457835476,-0.004450972188933143,-0.0022957673813815568
create_list,0.004914643510766765,-0.0038312904598895832,-0.0027173002371769293,-0.0018066632862720087
create_subtask,0.00784436565947112,-0.00895102360853224,-0.0021809443817891625,-0.002724845106472522
create_task,0.0115480262741382,-0.011288401520871388,-0.003021440024992212,-0.007624464326368941
delete_memory,-0.0004769362436577928,0.003602842749967298,-0.001813644373378749,-0.0008242261739548528
edit_image,0.025120941522078864,-0.015680394766429812,-0.01836290309562044,-0.006203625458316354
find_similar_assets,-0.0031814603711286605,0.00782577255353098,-0.0013278761828940135,-0.0012393831663062406
find_stale_tasks,-0.04651124377647621,0.0510159510856934,0.024143612313338975,-0.004548465973296554
follow_up_cursor_agent,0.001417918003591717,-0.0008093961109439425,-0.0010393418194474264,-0.00047233776579832826
generate_image,0.028970199701761054,-0.019664708887509392,-0.021943261045066987,-0.002816287346692977
generate_project_summary,-0.019477300749269007,0.02215563075685828,0.010741401872610525,-0.004609817780887932
generate_project_update,-0.007354311552563561,0.0023173338137504043,0.010722094927231078,-0.00586346555864644
generate_stand_up,-0.019587608912124684,0.018448238175901664,0.014655020581839985,-0.006446451740268551
get_cursor_agent,0.001321361906359497,-0.0007542785869476698,-0.0009685656606555317,-0.0004401729360089183
gmail_create_draft,-0.026663964465031175,0.02347909666043984,0.018772079708239683,-0.0034625363195975277
gmail_fetch_drafts,0.0025585859017030065,-0.0030544773220000506,-0.000259354734771843,-0.001635182555441333
launch_cursor_agent,0.0017786618663678542,-0.0010153210507770918,-0.0013037690865691186,-0.0005925089955433325
list_available_calendars,-0.00572401309330674,0.0089909247199714,-0.0009607752637773285,0.003322764982030767
load_assets,-0.025190068192449473,0.005283239554195541,0.030638194799927385,-0.0024445891996845064
load_custom_fields,-0.012548616755189894,0.003926478949153141,0.017814887101447022,-0.008921877661226285
load_web_pages,0.003906015340892511,-0.006694252953089146,-0.0009263430899738787,0.0020946575266984954
manage_personal_priorities,-0.0005040942740011558,0.006134610322871549,-0.0018739589988682897,-0.004911527063592218
move_task_to_list,0.0030489761935322706,-0.004111258349855481,0.00039963473562461824,-0.0026781362390787423
post_chat_message,-0.17574663503433074,0.185547917548582,0.09536295535212881,-0.01385742991860315
post_reply,0.0883357406223039,-0.0699661780521855,-0.06469223899312146,0.003603897037185183
post_slack_message,-0.0820164280405989,0.10834540881069628,0.025642278284578338,-0.002679046616622243
post_task_comment,-0.06664710018998712,0.06519182193365025,0.04111036301252716,-0.007153450044801613
read_memory,-0.07087038594684736,0.05166992084851087,0.048641513622016345,0.011715850991624897
reflect,-0.003655945297952553,-0.0010753529073620912,0.006033586583863494,-0.0006536034966396453
rename_memory,-0.012654256102745868,-0.0005764293667870202,-0.0006998257869476316,0.038975907062339915
retrieve_activity,-0.05345890473769841,0.047482414580155494,0.03948898357070344,-0.011633617913540976
retrieve_chat_messages,-0.035214292715271434,0.03172848138001874,0.02219544858679003,-0.0001926212673707714
retrieve_personal_priorities,0.004665661258772135,-0.0012901704085987453,-0.0006448720696479385,-0.009872463078038301
retrieve_tasks_by_filters,-0.08404812679333448,0.07840564667613578,0.05832749154816693,-0.016552076751765385
search_clickup_help_center,0.00519018864145286,-0.003004681114361369,-0.0036775241297473137,-0.0019316568761631077
search_clickup_support_resources,0.0031642337278712093,-0.00134503178617532,-0.003211692127781393,8.882906683420604e-05
search_google_calendar,0.006873643826578776,-0.0018884848724526919,-0.005143475116167031,-0.005516311277530744
search_public_web,0.0020878494362355066,-0.008296000945139752,0.0013347082738747727,0.005175851413219561
search_users_and_teams,-0.13295196801604767,0.13009496012095828,0.07668308242641013,-0.0028542012180877217
search_workspace,-0.023901330436842793,0.014448764156944608,0.02074829119103315,-0.0003707078977541304
todo_write,-0.09335434252057322,0.07806732017488992,0.071028379831074,-0.016551418841275777
update_chat_message,-0.006911181100635952,0.0006515826514358783,0.00907746257881693,-0.0007658968088416513
update_comment,-0.004583851290705195,0.0028606666240271438,0.004633412628821081,-0.0016350321754802844
update_document,-0.010466813435471536,-0.0036473892752368104,0.012240634321141829,0.009954978999630557
update_google_calendar_event,0.005099085765956698,-0.002930703286962317,-0.004054618632043045,-0.0009807571111803846
update_task,0.0029208929963213297,-0.00426256216245218,0.003303689083431389,-0.008318751574988187
view_tools_catalog,-0.03080544439955829,0.014138783287003019,0.02683688178149633,0.006924231601748205
write_memory,-0.03893044578357434,0.02341286880765029,0.030776248961701922,0.006115617217055095
